Activity Date,Process Date,Settle Date,Instrument,Description,Trans Code,Quantity,Price,Amount
4/9/2024,4/9/2024,4/10/2024,QQQ,QQQ 4/9/2024 Call $442.00,STO,1,$0.14,$13.95
4/8/2024,4/8/2024,4/9/2024,QQQ,Option Expiration for QQQ 4/8/2024 Call $443.00,OEXP,1,,
4/8/2024,4/8/2024,4/9/2024,QQQ,QQQ 4/8/2024 Call $443.00,STO,1,$0.15,$14.95
4/5/2024,4/5/2024,4/8/2024,QQQ,Option Expiration for QQQ 4/5/2024 Call $441.00,OEXP,1,,
4/5/2024,4/5/2024,4/5/2024,QQQ,Stock Lending,SLIP,,,$0.01
4/5/2024,4/5/2024,4/8/2024,QQQ,QQQ 4/5/2024 Call $441.00,STO,1,$0.30,$29.95
4/4/2024,4/4/2024,4/5/2024,QQQ,Option Expiration for QQQ 4/4/2024 Call $448.00,OEXP,1,,
4/4/2024,4/4/2024,4/5/2024,QQQ,QQQ 4/4/2024 Call $448.00,STO,1,$0.08,$7.95
4/3/2024,4/3/2024,4/4/2024,QQQ,Option Expiration for QQQ 4/3/2024 Call $445.00,OEXP,1,,
4/3/2024,4/3/2024,4/4/2024,QQQ,QQQ 4/3/2024 Call $445.00,STO,1,$0.11,$10.95
4/2/2024,4/2/2024,4/3/2024,QQQ,Option Expiration for QQQ 4/2/2024 Call $443.00,OEXP,1,,
4/2/2024,4/2/2024,4/3/2024,QQQ,QQQ 4/2/2024 Call $443.00,STO,1,$0.04,$3.95
4/1/2024,4/1/2024,4/2/2024,QQQ,Option Expiration for QQQ 4/1/2024 Call $448.00,OEXP,1,,
4/1/2024,4/1/2024,4/2/2024,QQQ,QQQ 4/1/2024 Call $448.00,STO,1,$0.06,$5.95
3/28/2024,3/28/2024,3/28/2024,,Interest Payment,INT,,,$9.65
3/28/2024,3/28/2024,4/1/2024,QQQ,Option Expiration for QQQ 3/28/2024 Call $449.00,OEXP,1,,
3/28/2024,3/28/2024,4/1/2024,QQQ,QQQ 3/28/2024 Call $449.00,STO,1,$0.04,$3.95
3/27/2024,3/27/2024,3/28/2024,QQQ,Option Expiration for QQQ 3/27/2024 Call $446.00,OEXP,1,,
3/27/2024,3/27/2024,3/28/2024,QQQ,QQQ 3/27/2024 Call $446.00,STO,1,$0.04,$3.95
3/26/2024,3/26/2024,3/27/2024,QQQ,Option Expiration for QQQ 3/26/2024 Call $449.00,OEXP,1,,
3/26/2024,3/26/2024,3/27/2024,QQQ,QQQ 3/26/2024 Call $449.00,STO,1,$0.05,$4.95
3/25/2024,3/25/2024,3/26/2024,QQQ,Option Expiration for QQQ 3/25/2024 Call $447.00,OEXP,1,,
3/25/2024,3/25/2024,3/26/2024,QQQ,QQQ 3/25/2024 Call $447.00,STO,1,$0.10,$9.95
3/22/2024,3/22/2024,3/25/2024,QQQ,Option Expiration for QQQ 3/22/2024 Call $449.00,OEXP,1,,
3/22/2024,3/22/2024,3/25/2024,QQQ,QQQ 3/22/2024 Call $449.00,STO,1,$0.04,$3.95
3/21/2024,3/21/2024,3/22/2024,QQQ,Option Expiration for QQQ 3/21/2024 Call $452.00,OEXP,1,,
3/21/2024,3/21/2024,3/22/2024,QQQ,QQQ 3/21/2024 Call $452.00,STO,1,$0.11,$10.95
3/20/2024,3/20/2024,3/21/2024,QQQ,Option Expiration for QQQ 3/20/2024 Call $445.00,OEXP,1,,
3/20/2024,3/20/2024,3/21/2024,QQQ,QQQ 3/20/2024 Call $445.00,STO,1,$0.14,$13.95
3/19/2024,3/19/2024,3/20/2024,QQQ,Option Expiration for QQQ 3/19/2024 Call $440.00,OEXP,1,,
3/19/2024,3/19/2024,3/20/2024,QQQ,QQQ 3/19/2024 Call $440.00,STO,1,$0.04,$3.95
3/18/2024,3/18/2024,3/19/2024,QQQ,Option Expiration for QQQ 3/18/2024 Call $444.00,OEXP,1,,
